,TOPICS,BODY
8076,'earn',chemicals group bayer bayg said expects post another good result raising profit record high company said despite marks strengthening dollar currencies despite increase competitive pressure progress business depend largely extent threats free trade materialise developments exchange rates material energy costs bayer said world group profit rose billion marks exceeding previous years record billion parent company profit increased billion billion company gave profit figures indication likely dividend bayer paid mark dividend results mark year earlier bayer said world group operating profit declined slightly operating results showed improvement bayer said decline world group turnover billion marks billion reflected mainly sharp fall dollar mark lower prices material side also brought pressure selling prices added volume terms however sales rose slightly company said without giving details western europe north america east regions developed well local currency translation local currency sales marks distorted picture especially case north america said bayer said parent company volume sales also higher although turnover fell billion marks capacity high parent company resulting decline marginal unit costs combined savings material energy costs helped offset falling prices cost increases areas rise parent company profit lower extraordinary expenses higher interest income plastics organic chemicals polyurethanes coating materials developed well said turning fourth quarter bayer said world group turnover fell billion marks last three months billion period parent company turnover fourth quarter fell billion marks domestic turnover lower foreign turnover lower exports accounted turnover quarter quarter reuter 
7370,'earn',profit loss profit loss revs shrs reuter 
11668,'earn',ended march cents final cents making dlrs turnover billion billion income shrs note july unfranked thus free dividend imputation dlrs depreciation interest minorities extraordinary profit loss reuter 
1661,'earn',oper loss profit oper loss profit revs year oper profit dlrs profit dlrs oper profit revs billion billion note excludes gains discontinued leasing operations dlrs dlrs year dlrs dlrs quarter results restated discontinued operations periods includes charge dlrs elimination investment credits reuter 
2859,'earn',qtly nine nine prior payable record apreil nine reuter 
7297,'earn',oper dlrs oper sales year oper dlrs dlrs oper sales note share adjusted five stock dividend prior year periods excludes gain dlrs reversion overfunded pension plans year includes pretax lifo inventory charge dlrs credit dlrs rate impact reform debt writeoffs year dlrs pretax year reuter 
12167,'earn',period ended loss eight profit loss profit sales reuter 
2929,'earn',oper profit loss oper profit loss revs shrs year oper loss dlrs loss oper profit profit revs note share figures come preferred dividends excludes fourth quarter full year extraordinary gains share respectively reuter 
10366,'earn',loss five loss sales note company began opeations april reuter 
5970,'earn',eight year dlrs note includes loan loss provisions quarter year reuter 
8854,'earn',qtly prior june record reuter 
12403,'earn',dlrs sales nine mths dlrs dlrs sales billion billion reuter 
3552,'earn',given profit loss sales reuter 
6092,'earn',revs shrs year revs shrs reuter 
3857,'earn',period ended january loss loss loss loss revs note full name applied circuit technology reuter 
12360,'earn',sales nine mths dlrs sales billion billion note share adjusted stock split april reuter 
9763,'earn',qtly prior april record april reuter 
9343,'earn',year december making pretax profit profit turnover billion billion note full name company george wimpey wmpy operating profit exceptional items exceptional debits operating profit share profits less losses associated companies loss interest payable attributable minority profits debits extraordinary items debit credit borrowings reuter 
2834,'earn',loss profit loss profit revs year loss profit loss profit revs note full name safeguard health enterprises current year figures include reserve estimated loss proposed divestment third existing offices reuter 
4771,'earn',loss dlrs loss loss loss revs shrs note current year loss includes writedown properties full cost accounting method reuter 
6179,'earn',oper loss loss oper loss loss revs year oper loss dlrs loss dlrs oper loss loss revs note oper excludes losses discontinued operations dlrs dlrs dlrs dlrs year reuter 
7496,'earn',loss dlrs loss dlrs loss loss revs note includes loss dlrs restructuring note loss includes dlrs restructuring costs associated disposal property loss also includes sale loss companys aircraft reuter 
6242,'earn',australias largest company broken hill brkn expected report profit around dlrs tomorrow first nine months ended february share analysts polled reuters said would well dlrs earned first three quarters full year ended group earned record dlrs analysts estimated group would report third quarter region dlrs year earlier second quarter bhps earnings first half ended november amounted dlrs sharply year earlier analysts predicted report upturn petroleum earnings compared first quarter reflecting improvement crude prices bass strait fields gains would offset lower mineral steel earnings said mineral group lower coal prices shipments japan steel division affected industrial production problems analysts noted third quarter normally bhps lowest earning period owing number seasonal factors predicted sharp rise fourth quarter around dlrs factor fourth quarter expected break dlrs investment allowance capital expenditure steel division said said bhps full year earnings around dlrs added decline would surprise noting said would difficult equal record profit reuter 
9143,'earn',qtly previously april record april reuter 
1062,'earn',year dlrs dlrs note fourth includes extraordinary gain dlrs share versus dlrs share fourth extraordinary charge dlrs share includes extraordinary gain dlrs share versus dlrs share reuter 
2508,'earn',loss profit loss profit revs note loss includes loss dlrs share discontinued operations revenues include revenues last eight months beckett aviation acquired september year ended september reuter 
72,'earn',annual class prior annual class prior payable april record march note full name international reuter 
9179,'earn',revs months dlrs revs note share adjusted stock split reuter 
12893,'earn',sales shrs reuter 
7696,'earn',valhi formed march merger amalgamated sugar corp said unaudited forma earnings dlrs share months ended december valhi said results prepared merger occurred july substantially basis forma financial information llcs amalgamateds joint proxy statement dated february valhi said common shares outstanding held contran corp reuter 
12960,'earn',revs nine mths dlrs dlrs revs note nine month earnings include nonrecurring gain nine cents share sale companys data card investment reuter 
12754,'earn',nine mths dlrs note company would provide assets deposits loans figures reuter 
1097,'earn',qtly prior payable record april three reuter 
4193,'earn',commercial national corp said quarterly dividend share current expectations earnings company said dividend payable april holders record march reuter 
426,'earn',ends profit three loss three profit loss revs shrs nine mths loss profit loss profit revs shrs note includes gain carryforward discontinued operations masters merchandise group year prior reuter 
4548,'earn',ended loss dlrs profit loss profit sales billion billion shrs year loss dlrs profit profit profit sales billion billion shrs notes share results provision preferred dividends share profits operations dlrs quarter dlrs dlrs year fully diluted basis dlrs dlrs dlrs respectively based shares outstanding quarter year results periods include losses sale john wanamaker dlrs related recapitalization combined primary share charge dlrs quarter dlrs year results also include charge dlrs equal dlrs share quarter dlrs year premium early retirement debt periods includes loss dlrs equal share sale holt renfrew results include lifo charge dlrs credit dlrs quarter credit dlrs credit dlrs year reuter 
4924,'earn',qtly prior april record march reuter 
5350,'earn',revs nine mths revs note share adjusted three stock split june reuter 
602,'earn',unilever group improved performance almost sectors anglo dutch group said results statement good progress made last year recent acquisition chesebrough ponds significant addition greatly benefit group years come earlier unilever reported combined fourth quarter profit level year earlier period making billion compared full year unilever said plans change depreciation policy conventional practice depreciating assets individually rather depreciating fixed assets average rates method expected lead reduction accumulated provision depreciation thereby increase book value tangible asssets january unilever shares since yesterday buoyant response results share split proposal though profits ahead market forecasts dealers added reuter 
8563,'earn',given loss profit revs year loss profit nine loss profit revs reuter 
3792,'earn',qtly prior april record april three reuter 
3671,'earn',loss nine profit loss profit revs mths loss profit loss profit revs reuter 
11360,'earn',revs mths dlrs dlrs revs billion billion reuter 
6982,'earn',profit loss dlrs profit loss note includes gain bond portfolio dlrs provision losses discontinued liability multi peril lines reinsurance reuter 
8955,'earn',profit loss three profit loss revs months profit loss profit loss revs note months includes gain four change accounting principle reuter 
9207,'earn',qtly prior record april reuter 
770,'earn',oper loss dlrs profit oper loss profit revs shrs mths oper loss dlrs profit oper loss profit revs shrs note prior excludes loss seven share discontinued operations excludes extraodinary loss excludes loss share gain share discontinued operations excludes loss extraordinary item reuter 
7956,'earn',period ended february revs mths revs shrs reuter 
1014,'earn',profit loss profit loss revs half profit loss eight profit loss revs reuter 
3820,'earn',gulf resources chemical corp said sale stake imperial continental association result profit dlrs dlrs share fully duliuted first quarter gulf said sold remaining stake imperial shares units loan stock dlrs based exchange rate pound sterling previously reported sold imperial shares march nine gulf said sale imperial shares accepted part recent tender offer made groupe bruxelles lambert tractebel terms offer gulf said entitled receive supplementary payment general offer acquire imperial continental calor group contibel holdings becomes wholly unconditional price tender pence share reuter 
2718,'earn',mart corp said record fiscal earnings dlrs rise dlrs year marked major turning point worlds second biggest retailer mart said earnings rise fourth quarter ended january dlrs dlrs resulted merchandising refurbishing expense control year mart took charge dlrs discontinued operations earnings continuing retail operations quarter totalled dlrs dlrs share compared dlrs dlrs year mart chairman bernard fauber said success programs better illustrated strong increase income continuing operations income taxes billion dlrs first time mart corp reached milestone sales fiscal year reached record billion dlrs rise billion dlrs prior year mart said restated account discontinued operations comparable store sales rose said fauber said sales growth came greater consumer acceptance marts apparel merchandise marked increase hardline merchandise sales growing contribution specialty retailing operations mart said fourth quarter income continuing operations dlrs gain dlrs last year said sales period grew billion dlrs restated billion dlrs comparable store sales mart said effective rate rose said selling general administrative expense eased sales performance marks major turning point mart fauber said statement years immediately prior focused changing look stores structure company mart said committed billion dollars store remodeling installing centralized point sale system upgraded merchandise acquired three large specialty retailers divested underperforming businesses restructured long term debt forced temporary price form slower earnings growth lower rating investment community however beginning fourth quarter improved performance proof approach correct long term mart chairman said reuter 
6568,'earn',macmillan bloedel said shareholders approved companys previously reported proposed three stock split reuter 
9803,'earn',revs year dlrs dlrs note includes state credit year also includes gains sale real estate year reuter 
4920,'earn',loss eight loss loss loss revs nine mths loss loss loss revs reuter 
7828,'earn',unit distribution dlrs prior june record note prior distribution declared april reuter 
2304,'earn',tenera said make initial quarterly distribution unit april holders record march partnership said dividend greater expectd warranted fourth quarter results anticipated results years first quarter tenera said expects comparable distribution second quarter said share first quarter amount taxable income reuter 
7753,'earn',loss dlrs profit loss profit revs note current year figures include writedown land improvements increase allowance doubtful accounts gain three dlrs debt retirement reuter 
