,category,lambda_1,lambda_2,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
0,earn,0.05,0.01,0.875,0.0,0.875,0.0,0.875,0.0
0,earn,0.5,0.01,0.875,0.0,0.875,0.0,0.875,0.0
0,earn,0.05,0.5,0.975,0.0,0.975,0.0,0.975,0.0
0,acq,0.05,0.01,1.0,0.0,1.0,0.0,1.0,0.0
0,acq,0.5,0.01,0.92,0.0,0.92,0.0,0.92,0.0
0,acq,0.05,0.5,1.0,0.0,1.0,0.0,1.0,0.0
0,crude,0.05,0.01,0.533,0.0,0.533,0.0,0.533,0.0
0,crude,0.5,0.01,0.4,0.0,0.4,0.0,0.4,0.0
0,crude,0.05,0.5,0.067,0.0,0.067,0.0,0.067,0.0
0,corn,0.05,0.01,0.1,0.0,0.1,0.0,0.1,0.0
0,corn,0.5,0.01,0.5,0.0,0.5,0.0,0.5,0.0
0,corn,0.05,0.5,0.7,0.0,0.7,0.0,0.7,0.0
