,category,w_ng,w_sk,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
0,earn,1,0,0.867,0.012,0.867,0.012,0.867,0.012
0,earn,0.5,0.5,0.908,0.031,0.908,0.031,0.908,0.031
0,earn,0.8,0.2,0.808,0.031,0.808,0.031,0.808,0.031
0,earn,0.9,0.1,0.808,0.082,0.808,0.082,0.808,0.082
0,acq,1,0,0.747,0.278,0.747,0.278,0.747,0.278
0,acq,0.5,0.5,0.907,0.068,0.907,0.068,0.907,0.068
0,acq,0.8,0.2,0.973,0.038,0.973,0.038,0.973,0.038
0,acq,0.9,0.1,0.853,0.207,0.853,0.207,0.853,0.207
0,crude,1,0,0.489,0.083,0.489,0.083,0.489,0.083
0,crude,0.5,0.5,0.778,0.083,0.778,0.083,0.778,0.083
0,crude,0.8,0.2,0.578,0.063,0.578,0.063,0.578,0.063
0,crude,0.9,0.1,0.756,0.113,0.756,0.113,0.756,0.113
0,corn,1,0,0.2,0.216,0.2,0.216,0.2,0.216
0,corn,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
0,corn,0.8,0.2,0.433,0.309,0.433,0.309,0.433,0.309
0,corn,0.9,0.1,0.133,0.125,0.133,0.125,0.133,0.125
