category,ime_ljuske,C,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
earn,NGK,0.01,0.82,0.3158,0.82,0.3158,0.82,0.3158
earn,SSK,0.01,0.9,0.3,0.9,0.3,0.9,0.3
earn,WK,0.01,0.9,0.3,0.9,0.3,0.9,0.3
acq,NGK,0.01,0.1,0.3,0.1,0.3,0.1,0.3
acq,SSK,0.01,0.1,0.3,0.1,0.3,0.1,0.3
acq,WK,0.01,0.296,0.4523,0.296,0.4523,0.296,0.4523
crude,NGK,0.01,0.0,0.0,0.0,0.0,0.0,0.0
crude,SSK,0.01,0.0,0.0,0.0,0.0,0.0,0.0
crude,WK,0.01,0.0,0.0,0.0,0.0,0.0,0.0
corn,NGK,0.01,0.0,0.0,0.0,0.0,0.0,0.0
corn,SSK,0.01,0.0,0.0,0.0,0.0,0.0,0.0
corn,WK,0.01,0.0,0.0,0.0,0.0,0.0,0.0
earn,NGK,1.0,0.8125,0.0889,0.8125,0.0889,0.8125,0.0889
earn,SSK,1.0,0.875,0.0829,0.875,0.0829,0.875,0.0829
earn,WK,1.0,0.875,0.0829,0.875,0.0829,0.875,0.0829
acq,NGK,1.0,0.84,0.1716,0.84,0.1716,0.84,0.1716
acq,SSK,1.0,0.852,0.1363,0.852,0.1363,0.852,0.1363
acq,WK,1.0,0.924,0.0578,0.924,0.0578,0.924,0.0578
crude,NGK,1.0,0.4267,0.2984,0.4267,0.2984,0.4267,0.2984
crude,SSK,1.0,0.44,0.3479,0.44,0.3479,0.44,0.3479
crude,WK,1.0,0.6533,0.1974,0.6533,0.1974,0.6533,0.1974
corn,NGK,1.0,0.21,0.1868,0.21,0.1868,0.21,0.1868
corn,SSK,1.0,0.18,0.2358,0.18,0.2358,0.18,0.2358
corn,WK,1.0,0.33,0.2193,0.33,0.2193,0.33,0.2193
earn,NGK,1000.0,0.8625,0.095,0.8625,0.095,0.8625,0.095
earn,SSK,1000.0,0.945,0.043,0.945,0.043,0.945,0.043
earn,WK,1000.0,0.87,0.0835,0.87,0.0835,0.87,0.0835
acq,NGK,1000.0,0.772,0.2305,0.772,0.2305,0.772,0.2305
acq,SSK,1000.0,0.968,0.0349,0.968,0.0349,0.968,0.0349
acq,WK,1000.0,0.876,0.0848,0.876,0.0848,0.876,0.0848
crude,NGK,1000.0,0.7266,0.2258,0.7266,0.2258,0.7266,0.2258
crude,SSK,1000.0,0.8133,0.1833,0.8133,0.1833,0.8133,0.1833
crude,WK,1000.0,0.6866,0.1661,0.6866,0.1661,0.6866,0.1661
corn,NGK,1000.0,0.3,0.1789,0.3,0.1789,0.3,0.1789
corn,SSK,1000.0,0.39,0.2211,0.39,0.2211,0.39,0.2211
corn,WK,1000.0,0.49,0.2625,0.49,0.2625,0.49,0.2625
