category,ime_ljuske,C,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
acq,NGK,1.0,0.84,0.1716,0.84,0.1716,0.84,0.1716
acq,SSK,1000.0,0.968,0.0349,0.968,0.0349,0.968,0.0349
acq,WK,1.0,0.924,0.0578,0.924,0.0578,0.924,0.0578
corn,NGK,1000.0,0.3,0.1789,0.3,0.1789,0.3,0.1789
corn,SSK,1000.0,0.39,0.2211,0.39,0.2211,0.39,0.2211
corn,WK,1000.0,0.49,0.2625,0.49,0.2625,0.49,0.2625
crude,NGK,1000.0,0.7266,0.2258,0.7266,0.2258,0.7266,0.2258
crude,SSK,1000.0,0.8133,0.1833,0.8133,0.1833,0.8133,0.1833
crude,WK,1000.0,0.6866,0.1661,0.6866,0.1661,0.6866,0.1661
earn,NGK,1000.0,0.8625,0.095,0.8625,0.095,0.8625,0.095
earn,SSK,1000.0,0.945,0.043,0.945,0.043,0.945,0.043
earn,WK,0.01,0.9,0.3,0.9,0.3,0.9,0.3
