,category,ime ljuske,k,lambda,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
0,earn,NGK,3,0,0.7675,0.0633,0.7675,0.0633,0.7675,0.0633
0,earn,NGK,4,0,0.8375,0.0744,0.8375,0.0744,0.8375,0.0744
0,earn,NGK,5,0,0.8775,0.0945,0.8775,0.0945,0.8775,0.0945
0,earn,NGK,6,0,0.8525,0.0786,0.8525,0.0786,0.8525,0.0786
0,earn,NGK,7,0,0.855,0.0748,0.855,0.0748,0.855,0.0748
0,earn,NGK,8,0,0.8975,0.1075,0.8975,0.1075,0.8975,0.1075
0,earn,NGK,9,0,0.905,0.0705,0.905,0.0705,0.905,0.0705
0,earn,NGK,10,0,0.9275,0.1034,0.9275,0.1034,0.9275,0.1034
0,earn,SSK,3,0.01,0.8375,0.0957,0.8375,0.0957,0.8375,0.0957
0,earn,SSK,3,0.03,0.8375,0.0437,0.8375,0.0437,0.8375,0.0437
0,earn,SSK,3,0.05,0.875,0.0733,0.875,0.0733,0.875,0.0733
0,earn,SSK,3,0.07,0.8225,0.0675,0.8225,0.0675,0.8225,0.0675
0,earn,SSK,3,0.09,0.8525,0.0745,0.8525,0.0745,0.8525,0.0745
0,earn,SSK,3,0.1,0.8325,0.0434,0.8325,0.0434,0.8325,0.0434
0,earn,SSK,3,0.3,0.82,0.065,0.82,0.065,0.82,0.065
0,earn,SSK,3,0.5,0.7925,0.0633,0.7925,0.0633,0.7925,0.0633
0,earn,SSK,3,0.7,0.77,0.1054,0.77,0.1054,0.77,0.1054
0,earn,SSK,3,0.9,0.81,0.1744,0.81,0.1744,0.81,0.1744
0,earn,SSK,4,0.01,0.85,0.0487,0.85,0.0487,0.85,0.0487
0,earn,SSK,4,0.03,0.8425,0.0874,0.8425,0.0874,0.8425,0.0874
0,earn,SSK,4,0.05,0.8875,0.0562,0.8875,0.0562,0.8875,0.0562
0,earn,SSK,4,0.07,0.8675,0.0475,0.8675,0.0475,0.8675,0.0475
0,earn,SSK,4,0.09,0.865,0.0583,0.865,0.0583,0.865,0.0583
0,earn,SSK,4,0.1,0.8725,0.0855,0.8725,0.0855,0.8725,0.0855
0,earn,SSK,4,0.3,0.8325,0.0775,0.8325,0.0775,0.8325,0.0775
0,earn,SSK,4,0.5,0.8125,0.0645,0.8125,0.0645,0.8125,0.0645
0,earn,SSK,4,0.7,0.75,0.0725,0.75,0.0725,0.75,0.0725
0,earn,SSK,4,0.9,0.78,0.1382,0.78,0.1382,0.78,0.1382
0,earn,SSK,5,0.01,0.8925,0.0725,0.8925,0.0725,0.8925,0.0725
0,earn,SSK,5,0.03,0.7975,0.081,0.7975,0.081,0.7975,0.081
0,earn,SSK,5,0.05,0.9025,0.041,0.9025,0.041,0.9025,0.041
0,earn,SSK,5,0.07,0.88,0.074,0.88,0.074,0.88,0.074
0,earn,SSK,5,0.09,0.885,0.0882,0.885,0.0882,0.885,0.0882
0,earn,SSK,5,0.1,0.885,0.0604,0.885,0.0604,0.885,0.0604
0,earn,SSK,5,0.3,0.8775,0.0817,0.8775,0.0817,0.8775,0.0817
0,earn,SSK,5,0.5,0.8525,0.0541,0.8525,0.0541,0.8525,0.0541
0,earn,SSK,5,0.7,0.85,0.0894,0.85,0.0894,0.85,0.0894
0,earn,SSK,5,0.9,0.74,0.1251,0.74,0.1251,0.74,0.1251
0,earn,SSK,6,0.01,0.9,0.1194,0.9,0.1194,0.9,0.1194
0,earn,SSK,6,0.03,0.8525,0.1015,0.8525,0.1015,0.8525,0.1015
0,earn,SSK,6,0.05,0.89,0.0691,0.89,0.0691,0.89,0.0691
0,earn,SSK,6,0.07,0.875,0.0512,0.875,0.0512,0.875,0.0512
0,earn,SSK,6,0.09,0.85,0.0707,0.85,0.0707,0.85,0.0707
0,earn,SSK,6,0.1,0.9,0.0837,0.9,0.0837,0.9,0.0837
0,earn,SSK,6,0.3,0.9075,0.0807,0.9075,0.0807,0.9075,0.0807
0,earn,SSK,6,0.5,0.87,0.06,0.87,0.06,0.87,0.06
0,earn,SSK,6,0.7,0.8575,0.0767,0.8575,0.0767,0.8575,0.0767
0,earn,SSK,6,0.9,0.7175,0.075,0.7175,0.075,0.7175,0.075
0,earn,SSK,7,0.01,0.915,0.0682,0.915,0.0682,0.915,0.0682
0,earn,SSK,7,0.05,0.9225,0.0647,0.9225,0.0647,0.9225,0.0647
0,earn,SSK,7,0.3,0.9025,0.0666,0.9025,0.0666,0.9025,0.0666
0,earn,SSK,7,0.7,0.8725,0.0945,0.8725,0.0945,0.8725,0.0945
0,earn,WK,0,0,0.84,0.0896,0.84,0.0896,0.84,0.0896
0,acq,NGK,3,0,0.92,0.0894,0.92,0.0894,0.92,0.0894
0,acq,NGK,5,0,0.892,0.1315,0.892,0.1315,0.892,0.1315
0,acq,NGK,7,0,0.86,0.2402,0.86,0.2402,0.86,0.2402
0,acq,NGK,10,0,0.68,0.2834,0.68,0.2834,0.68,0.2834
0,acq,SSK,3,0.01,0.896,0.1046,0.896,0.1046,0.896,0.1046
0,acq,SSK,3,0.05,0.86,0.2073,0.86,0.2073,0.86,0.2073
0,acq,SSK,3,0.3,0.96,0.0473,0.96,0.0473,0.96,0.0473
0,acq,SSK,3,0.7,0.948,0.1214,0.948,0.1214,0.948,0.1214
0,acq,SSK,5,0.01,0.932,0.0821,0.932,0.0821,0.932,0.0821
0,acq,SSK,5,0.05,0.98,0.0322,0.98,0.0322,0.98,0.0322
0,acq,SSK,5,0.3,0.912,0.0733,0.912,0.0733,0.912,0.0733
0,acq,SSK,5,0.7,0.884,0.2443,0.884,0.2443,0.884,0.2443
0,acq,SSK,7,0.01,0.904,0.1203,0.904,0.1203,0.904,0.1203
0,acq,SSK,7,0.05,0.808,0.2365,0.808,0.2365,0.808,0.2365
0,acq,SSK,7,0.3,0.804,0.1979,0.804,0.1979,0.804,0.1979
0,acq,SSK,7,0.7,0.832,0.2296,0.832,0.2296,0.832,0.2296
0,acq,SSK,10,0.01,0.708,0.36,0.708,0.36,0.708,0.36
0,acq,SSK,10,0.05,0.376,0.2968,0.376,0.2968,0.376,0.2968
0,acq,SSK,10,0.3,0.544,0.3846,0.544,0.3846,0.544,0.3846
0,acq,SSK,10,0.7,0.428,0.4658,0.428,0.4658,0.428,0.4658
0,acq,WK,0,0,0.864,0.1353,0.864,0.1353,0.864,0.1353
0,crude,NGK,3,0,0.6198,0.3071,0.6198,0.3071,0.6198,0.3071
0,crude,NGK,5,0,0.5866,0.2579,0.5866,0.2579,0.5866,0.2579
0,crude,NGK,7,0,0.4734,0.3204,0.4734,0.3204,0.4734,0.3204
0,crude,NGK,10,0,0.26,0.3189,0.26,0.3189,0.26,0.3189
0,crude,SSK,3,0.01,0.68,0.2933,0.68,0.2933,0.68,0.2933
0,crude,SSK,3,0.05,0.5667,0.363,0.5667,0.363,0.5667,0.363
0,crude,SSK,3,0.3,0.4533,0.3538,0.4533,0.3538,0.4533,0.3538
0,crude,SSK,3,0.7,0.2533,0.3781,0.2533,0.3781,0.2533,0.3781
0,crude,SSK,5,0.01,0.66,0.2375,0.66,0.2375,0.66,0.2375
0,crude,SSK,5,0.05,0.6733,0.3076,0.6733,0.3076,0.6733,0.3076
0,crude,SSK,5,0.3,0.68,0.2267,0.68,0.2267,0.68,0.2267
0,crude,SSK,5,0.7,0.6933,0.2653,0.6933,0.2653,0.6933,0.2653
0,crude,SSK,7,0.01,0.5067,0.3617,0.5067,0.3617,0.5067,0.3617
0,crude,SSK,7,0.05,0.3533,0.364,0.3533,0.364,0.3533,0.364
0,crude,SSK,7,0.3,0.58,0.3156,0.58,0.3156,0.58,0.3156
0,crude,SSK,7,0.7,0.3133,0.2272,0.3133,0.2272,0.3133,0.2272
0,crude,SSK,10,0.01,0.3333,0.3183,0.3333,0.3183,0.3333,0.3183
0,crude,SSK,10,0.05,0.2533,0.2286,0.2533,0.2286,0.2533,0.2286
0,crude,SSK,10,0.3,0.1733,0.1744,0.1733,0.1744,0.1733,0.1744
0,crude,SSK,10,0.7,0.04,0.0533,0.04,0.0533,0.04,0.0533
0,crude,WK,0,0,0.6467,0.1839,0.6467,0.1839,0.6467,0.1839
0,corn,NGK,3,0,0.37,0.2968,0.37,0.2968,0.37,0.2968
0,corn,NGK,5,0,0.1,0.1095,0.1,0.1095,0.1,0.1095
0,corn,NGK,7,0,0.15,0.2156,0.15,0.2156,0.15,0.2156
0,corn,NGK,10,0,0.02,0.04,0.02,0.04,0.02,0.04
0,corn,SSK,3,0.01,0.21,0.2948,0.21,0.2948,0.21,0.2948
0,corn,SSK,3,0.05,0.4,0.3098,0.4,0.3098,0.4,0.3098
0,corn,SSK,3,0.3,0.23,0.2052,0.23,0.2052,0.23,0.2052
0,corn,SSK,3,0.7,0.0,0.0,0.0,0.0,0.0,0.0
0,corn,SSK,5,0.01,0.13,0.1487,0.13,0.1487,0.13,0.1487
0,corn,SSK,5,0.05,0.28,0.1833,0.28,0.1833,0.28,0.1833
0,corn,SSK,5,0.3,0.31,0.2166,0.31,0.2166,0.31,0.2166
0,corn,SSK,5,0.7,0.1,0.1095,0.1,0.1095,0.1,0.1095
0,corn,SSK,7,0.01,0.11,0.1221,0.11,0.1221,0.11,0.1221
0,corn,SSK,7,0.05,0.1,0.0632,0.1,0.0632,0.1,0.0632
0,corn,SSK,7,0.3,0.13,0.1187,0.13,0.1187,0.13,0.1187
0,corn,SSK,7,0.7,0.05,0.0671,0.05,0.0671,0.05,0.0671
0,corn,SSK,10,0.01,0.1,0.1265,0.1,0.1265,0.1,0.1265
0,corn,SSK,10,0.05,0.06,0.12,0.06,0.12,0.06,0.12
0,corn,SSK,10,0.3,0.03,0.0458,0.03,0.0458,0.03,0.0458
0,corn,SSK,10,0.7,0.04,0.049,0.04,0.049,0.04,0.049
0,corn,WK,0,0,0.42,0.3341,0.42,0.3341,0.42,0.3341
