,category,ime ljuske,lambda,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
0,earn,NGK,0,0.8375,0.0903,0.8375,0.0903,0.8375,0.0903
0,earn,SSK,0.01,0.875,0.0822,0.875,0.0822,0.875,0.0822
0,earn,SSK,0.05,0.9175,0.0537,0.9175,0.0537,0.9175,0.0537
0,earn,SSK,0.3,0.83,0.0907,0.83,0.0907,0.83,0.0907
0,earn,SSK,0.7,0.885,0.0572,0.885,0.0572,0.885,0.0572
0,earn,WK,0,0.8575,0.0613,0.8575,0.0613,0.8575,0.0613
0,acq,NGK,0,0.932,0.0671,0.932,0.0671,0.932,0.0671
0,acq,SSK,0.01,0.964,0.055,0.964,0.055,0.964,0.055
0,acq,SSK,0.05,0.948,0.0621,0.948,0.0621,0.948,0.0621
0,acq,SSK,0.3,0.948,0.0694,0.948,0.0694,0.948,0.0694
0,acq,SSK,0.7,0.94,0.0699,0.94,0.0699,0.94,0.0699
0,acq,WK,0,0.892,0.0739,0.892,0.0739,0.892,0.0739
0,crude,NGK,0,0.4466,0.2566,0.4466,0.2566,0.4466,0.2566
0,crude,SSK,0.01,0.68,0.2647,0.68,0.2647,0.68,0.2647
0,crude,SSK,0.05,0.74,0.1825,0.74,0.1825,0.74,0.1825
0,crude,SSK,0.3,0.3933,0.2835,0.3933,0.2835,0.3933,0.2835
0,crude,SSK,0.7,0.54,0.3681,0.54,0.3681,0.54,0.3681
0,crude,WK,0,0.5932,0.2987,0.5932,0.2987,0.5932,0.2987
0,corn,NGK,0,0.31,0.3145,0.31,0.3145,0.31,0.3145
0,corn,SSK,0.01,0.25,0.2012,0.25,0.2012,0.25,0.2012
0,corn,SSK,0.05,0.47,0.2865,0.47,0.2865,0.47,0.2865
0,corn,SSK,0.3,0.27,0.3068,0.27,0.3068,0.27,0.3068
0,corn,SSK,0.7,0.08,0.1166,0.08,0.1166,0.08,0.1166
0,corn,WK,0,0.32,0.2891,0.32,0.2891,0.32,0.2891
