,category,ime ljuske,k,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
0,earn,NGK,3,0.885,0.030,0.885,0.030,0.885,0.030
1,earn,NGK,4,0.885,0.051,0.885,0.051,0.885,0.051
2,earn,NGK,5,0.923,0.028,0.923,0.028,0.923,0.028
3,earn,NGK,6,0.930,0.050,0.930,0.050,0.930,0.050
4,earn,NGK,7,0.933,0.035,0.933,0.035,0.933,0.035
5,earn,NGK,8,0.915,0.041,0.915,0.041,0.915,0.041
6,earn,NGK,9,0.918,0.046,0.918,0.046,0.918,0.046
7,earn,NGK,10,0.915,0.039,0.915,0.039,0.915,0.039
8,earn,NGK,11,0.893,0.055,0.893,0.055,0.893,0.055
9,earn,NGK,12,0.908,0.046,0.908,0.046,0.908,0.046
10,earn,NGK,13,0.898,0.043,0.898,0.043,0.898,0.043
11,earn,NGK,14,0.920,0.052,0.920,0.052,0.920,0.052
0,acq,NGK,3,0.952,0.043,0.952,0.043,0.952,0.043
1,acq,NGK,4,0.952,0.056,0.952,0.056,0.952,0.056
2,acq,NGK,5,0.964,0.038,0.964,0.038,0.964,0.038
3,acq,NGK,6,0.948,0.044,0.948,0.044,0.948,0.044
4,acq,NGK,7,0.956,0.042,0.956,0.042,0.956,0.042
5,acq,NGK,8,0.972,0.026,0.972,0.026,0.972,0.026
6,acq,NGK,9,0.948,0.044,0.948,0.044,0.948,0.044
7,acq,NGK,10,0.96,0.034,0.96,0.034,0.96,0.034
8,acq,NGK,11,0.964,0.033,0.964,0.033,0.964,0.033
9,acq,NGK,12,0.924,0.0378,0.924,0.0378,0.924,0.038
10,acq,NGK,13,0.960,0.025,0.960,0.025,0.960,0.025
11,acq,NGK,14,0.96,0.036,0.96,0.036,0.96,0.036
0,crude,NGK,3,0.847,0.079,0.847,0.079,0.847,0.079
1,crude,NGK,4,0.947,0.040,0.947,0.040,0.947,0.040
2,crude,NGK,5,0.9,0.0445,0.9,0.045,0.9,0.045
3,crude,NGK,6,0.887,0.060,0.887,0.060,0.887,0.060
4,crude,NGK,7,0.880,0.072,0.880,0.072,0.880,0.072
5,crude,NGK,8,0.86,0.0758,0.86,0.0758,0.86,0.076
6,crude,NGK,9,0.880,0.083,0.880,0.083,0.880,0.083
7,crude,NGK,10,0.900,0.054,0.9,0.054,0.9,0.054
8,crude,NGK,11,0.82,0.103,0.82,0.103,0.82,0.103
9,crude,NGK,12,0.840,0.080,0.840,0.08,0.840,0.08
10,crude,NGK,13,0.773,0.137,0.773,0.137,0.773,0.137
11,crude,NGK,14,0.633,0.134,0.633,0.134,0.633,0.134
0,corn,NGK,3,0.830,0.100,0.830,0.100,0.830,0.100
1,corn,NGK,4,0.85,0.092,0.85,0.092,0.85,0.092
2,corn,NGK,5,0.85,0.092,0.85,0.092,0.85,0.092
3,corn,NGK,6,0.840,0.143,0.840,0.143,0.840,0.143
4,corn,NGK,7,0.78,0.140,0.78,0.140,0.78,0.140
5,corn,NGK,8,0.74,0.156,0.74,0.156,0.74,0.156
6,corn,NGK,9,0.640,0.229,0.640,0.229,0.640,0.229
7,corn,NGK,10,0.69,0.137,0.69,0.137,0.69,0.137
8,corn,NGK,11,0.54,0.174,0.54,0.17,0.54,0.174
9,corn,NGK,12,0.5,0.148,0.5,0.148,0.5,0.148
10,corn,NGK,13,0.31,0.145,0.31,0.145,0.31,0.145
11,corn,NGK,14,0.37,0.127,0.37,0.127,0.37,0.127
0,earn,WK,0,0.928,0.036,0.928,0.036,0.928,0.036
0,acq,WK,0,0.948,0.047,0.948,0.047,0.948,0.047
0,crude,WK,0,0.873,0.076,0.873,0.076,0.873,0.076
0,corn,WK,0,0.77,0.135,0.77,0.135,0.77,0.135
