,category,ime ljuske,lambda,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
0,earn,NGK,0,0.855,0.0731,0.855,0.0731,0.855,0.0731
0,earn,SSK,0.01,0.8417,0.0656,0.8417,0.0656,0.8417,0.0656
0,earn,SSK,0.05,0.8667,0.0425,0.8667,0.0425,0.8667,0.0425
0,earn,SSK,0.3,0.9083,0.0425,0.9083,0.0425,0.9083,0.0425
0,earn,SSK,0.7,0.7833,0.0514,0.7833,0.0514,0.7833,0.0514
0,earn,WK,0,0.8475,0.0786,0.8475,0.0786,0.8475,0.0786
0,acq,NGK,0,0.908,0.1363,0.908,0.1363,0.908,0.1363
0,acq,SSK,0.01,1.0,0.0,1.0,0.0,1.0,0.0
0,acq,SSK,0.05,1.0,0.0,1.0,0.0,1.0,0.0
0,acq,SSK,0.3,0.72,0.2355,0.72,0.2355,0.72,0.2355
0,acq,SSK,0.7,0.56,0.2466,0.56,0.2466,0.56,0.2466
0,acq,WK,0,0.896,0.1106,0.896,0.1106,0.896,0.1106
0,crude,NGK,0,0.6132,0.2629,0.6132,0.2629,0.6132,0.2629
0,crude,SSK,0.01,0.4889,0.2061,0.4889,0.2061,0.4889,0.2061
0,crude,SSK,0.05,0.4889,0.2061,0.4889,0.2061,0.4889,0.2061
0,crude,SSK,0.3,0.7111,0.175,0.7111,0.175,0.7111,0.175
0,crude,SSK,0.7,0.9556,0.0629,0.9556,0.0629,0.9556,0.0629
0,crude,WK,0,0.6733,0.18,0.6733,0.18,0.6733,0.18
0,corn,NGK,0,0.22,0.2227,0.22,0.2227,0.22,0.2227
0,corn,SSK,0.01,0.3,0.0816,0.3,0.0816,0.3,0.0816
0,corn,SSK,0.05,0.8,0.1414,0.8,0.1414,0.8,0.1414
0,corn,SSK,0.3,0.1667,0.2357,0.1667,0.2357,0.1667,0.2357
0,corn,SSK,0.7,0.1,0.0816,0.1,0.0816,0.1,0.0816
0,corn,WK,0,0.3,0.3162,0.3,0.3162,0.3,0.3162
